TWEETS	SENTIMENTS
@united Just attempted again to log-in on http://t.co/msSQPZusZj without success. who do I contact for website tech support?	neutral
A maintenance issue on a @united flight? Shocker. Probably going to be stuck in Cancun forever	negative
RT @garylawless: Ok @united it's official. We're broken up. Come get your sweater and your mixed tapes.  I'm keeping the cat. U don't know …	negative
RT @ogoki: Feels great to be back on #Winnipeg #manitoba. Going to the office to work on apps. #FridayThe13th. Thank you @united http://t.c…	positive
@united In air and having trouble accessing your Personal Device Entertainment. Purchased wifi connection works, but portal is blank. Help?	neutral
Thanks @United #United @ Jacksonville International Airport https://t.co/KAsJxSMKah	positive
@united following up on this. Are you honoring the mistake you guys made on your website? Or am I having to buy a new flight? Cheers.	negative
@united can I use reward miles to book return ground transportation?	neutral
I'm definitely over @united and their customer service. -.- Not impressed at all. #flyingdrama	negative
We are looking at both. The A321LR looks pretty decent, but we will see what @Boeing is going to do.Ron Baur, VP @united	positive
Trying to decide what's more masochistic, holding hours for ovseas outsourced @united rez or trying to comprehend their operators' gibberish	negative
@united where are the power outlets promised on this flight? http://t.co/43rdLp0QFB	negative
Ur chances of winning in Vegas are actually better than an @united flight not having a maintenance delay. #flyingjunkyard	negative
RT @keithlavon: Don't think @united is planning on keeping this plane flying much longer http://t.co/JesSIUMm9E	negative
@garylawless easy choice. Hi @united	neutral
On behalf of passengers everywhere I apologize for the way Mr.1B treated your crew on flight 1256 from LAX just now. You guys rock! @united	positive
@United studying replacements for fleet’s @Boeing 757s. http://t.co/g8pUEiqy4F via @WSJ @jonostrower #avgeek #Boeing	neutral
hey @united, can we talk about my seat bait &amp; switch? Yesterday when confirmed I had one seat, I go to check in today and am in another.	negative
RT @united: @PaulHencoski Thank you for your comments. It's through the constructive comments of our customers that we are able to correct …	positive
Thank you, @United. I am happy with something you did. Expected, but still. :D	positive
RT @keithlavon: Don't think @united is planning on keeping this plane flying much longer http://t.co/TeuEnLvaKB  (Tulip!)	negative
Don't think @united is planning on keeping this plane flying much longer http://t.co/JesSIUMm9E	negative
Love this photo! MT @RedDirtReport: @jhboston26 bound Joyce Chepkirui to compete in #UnitedNYCHalf! @united @nyrr http://t.co/MiklsNDHDk	positive
RT @jboogie: . @united redesigning the boarding experience: “even passengers had some role in the decision-making process“ No! http://t.co/…	negative
@swampynomo @united woah, tape on the seat is one thing, tape on the wing is another	negative
Feels great to be back on #Winnipeg #manitoba. Going to the office to work on apps. #FridayThe13th. Thank you @united http://t.co/fzc1KCVdi8	positive
@united WHY DOES YOUR REZ CALL CENTER THAT YOU OUTSOURCED OVERSEAS SUCK SO MUCH? I HOLD FOR HRS &amp; THEN YOUR AGENTS SPEAK GIBBERISH. #hateyou	negative
RT @BOACLtd: B787-8 #dreamliner @united departing the cloudy skies of LHR Photo by @AvgeekMel #avgeek http://t.co/wysNEsPHxi http://t.co/pS…	neutral
@United, thanks for the upgrade.	positive
Just landed in Cleveland on @united flight 1666 on Friday the 13th. Got me feeling lucky about my #HOOS tonight	positive
Dear @united, can you figure out your gate situation at LAX? 3rd time landing at LAX and have to wait for gate availability. Not good...	negative
@united, thanks for doing lunch orders in mileage priority order. Little things like this do matter.	positive
Hi @kristen, I am really sorry about your treatment on your flight. @United, as a 1K client, and a father, I hope you are fixing this now.	negative
Prove @stevebuttry wrong, @united. Here's your chance. #ChallengeAccepted? cc @luisviera	neutral
@united not sure, she thought that if she didnt call as soon as the flight was cancelled she whouldnt be refunded for the connecting flights	negative
RT @bas2205: @exitrow4thetall @united IMO it's a health&amp;safety issue. I believe @EASA and @FAAnews should address passengers &gt;~6'4"/195cm i…	neutral
Show of hands. Who thinks all cross country @United flights should have power outlets at each row? 🙋🙋🙋🙋✋✋✋	neutral
Hey @united, I'm sure glad I paid for a premium economy upgrade! Look at all this legroom! Do I get half my money b… http://t.co/tjFA4HKzuk	negative
@dmakogon Hope you have a safe landing soon, friend! @united	neutral
I think we're all adept at buckling up when the pilot asks us to, as cups are flying off trays. No need for lap-inspections. // @united	negative
@staceyviera @united @luisviera Don't count on it.	negative
This has already been a seriously long day. @united I know you're trying but please help a girl get home. At least get me to Denver.	neutral
What are the chances @united will make up for @luisviera's horrible flights this week &amp; help get him on earlier flights? @stevebuttry?	neutral
The attendants on this @united flight must love turbulence. 3rd bout, 3rd episode of seatbelt-checking and buckle-up demands.	negative
@southwest How distressing. Disappointing overall esp when airlines like @DeltaAssist @united and @JetBlue are working to boost flier morale	negative
On my way to #TFOB found great Art Deco exhibit at T3. Thanks, #SFO &amp; @United! On point for my trip &amp; book!	positive
@exitrow4thetall let me translate for @united: We will keep selling exit row seats, don't care about tall folks &amp; DVT risk, but won't tell.	negative
All of the lights ✨✈️ @united #myhappyplace #travelmore #UnitedAirlines http://t.co/3hhiqhkmVL	positive
@united Just landed. Thanks!	positive
Happy to be covering the NYC Half marathon this weekend @united @nyrr #NYC #nychalf http://t.co/GCtycD384l	positive
@united I asked $170 for rental...drove 5 hours til 3am rather than be stranded 2 days. 2 weeks before I rescheduled flight. U charged $200.	negative
RT @united: @JulioCGomez  Would you mind filling out our Customer Care form:http://t.co/lgsePdeDI1. They will review and get back to you. …	neutral
@DeltaAssist I'm a @united frequent flyer but looking to make a switch. Does @Delta match status?	negative
Stuck at @MitchellAirport  b/c of plane issue. No worries but one of the ladies at the counter was SO rude &amp; @united was NOT helpful.	negative
@united Just started using Twitter because I'm not a fan of social media. I think this changed my mind! Thanks for the great support! 👍	negative
Hello @United. SLC ✈️ SFO http://t.co/kAkGyRqYH9	neutral
@united your failure to see that is why ur satisfaction ratings are always so low. Businesses should take care of their paying customers.	negative
My sworn enemy on @united flights - totally makes the armrest useless except for turning on the TV… https://t.co/AOWdDBfLPs	negative
RT @RedDirtReport: @jhboston26 bound Joyce Chepkirui to compete and test shape in #UnitedNYCHalf! @united @nyrr @d9monti @adidasrunning htt…	neutral
@united when u strand folks &amp; force them to spend own $ to be w/ family, the right thing is reimbursement. Especially w/how u nickel &amp; dime	negative
@united and I get that. However doesn't particularly help me in the present	neutral
@united @exitrow4thetall It's pretty clear what he's trying to accomplish.  What did you hope to accomplish with such a shitty response?	negative
